product_id,composition,detail,fabric,fit,print,style
13f90f0c-0f4f-4b53-88b9-1f686f1acd4f,viscose,0,jersey,tight,smooth,classic
13fe7dbe-38bf-4ac1-931b-a27f8240a3c5,cotton,button,denim,straight,smooth,casual
141ec45e-9981-4a20-8db5-b269af8e568c,linen,lateral_opening,thread,straight,floral,boho
144b2d0f-a46a-4845-96bb-aee67d4465a2,polyamide,lateral_opening,jersey,oversize,smooth,boho
145105bb-dfb2-404b-959d-4d50e378896b,cotton,button,cotton_batting,straight,smooth,classic
1483c682-a304-4733-9275-db8f60c2511c,viscose,lace,knit,tight,smooth,classic
14ba66bd-c385-4002-bf6d-9d65c86911e0,polyester,lateral_pocket,synthetic,straight,smooth,street
14cc5a1e-8433-4e28-b17c-86a614a7d350,polyester,zippered_pocket,suede_leather,straight,smooth,street
14dacc86-c012-42cf-8a30-5acc85c58c76,viscose,button,artificial,tight,smooth,boho
14e656b8-72e8-409c-9954-3a60cb2748a5,acrylic,cable_four_back,jersey,loose,smooth,casual
15230c70-fec6-4331-b4ba-d4912a8756ee,cotton,sparkly,cotton_tshirt,straight,smooth,casual
152b771a-1405-4638-bb72-fec9bde1b90b,cotton,writing,cotton_tshirt,straight,smooth,street
1547e419-34ae-4398-bd0b-5b192975bdfc,polyester,writing,cotton_tshirt,straight,smooth,casual
154f17de-3768-4f3f-ad7f-cd705cfc6899,cotton,embroidery,cotton_tshirt,tight,horizontal_stripes,boho
155beca9-5f41-4b6d-ab32-164b51b15596,polyester,pucker,synthetic,straight,smooth,classic
155f5e77-983a-40b0-be49-ddbf8c0e2309,polyester,placket_pocket,tech_fabric,straight,smooth,boho
157c4442-14d8-44ed-8ba4-9b6fcaa622f6,cotton,lateral_pocket,twill,loose,smooth,minimal
158747b9-2609-4eb7-ae2d-e70110f09fab,polyester,embroidery,synthetic,straight,smooth,boho
1595053b-d968-4868-a96e-2f5d609754dc,cotton,lateral_opening,jersey,loose,smooth,boho
1599de13-159a-4477-8b59-d1c7d819c328,leather,buckle,nobuck,0,smooth,casual
15ab11fc-18ee-4ce5-884f-46b116ab9d46,cotton,ruffles,batiste,loose,smooth,boho
15d179f5-205a-4e9a-ba2d-33e2a25b9027,polyester,waist_band,synthetic,tight,miniprint,street
1612cad7-b3ff-4c18-91d5-237795578050,polyester,trimming,crepe,straight,smooth,classic
1657c9fa-aedf-487d-8578-0c703190d283,polyester,lateral_pocket,suede_leather,straight,smooth,street
16591494-23da-45df-b19a-7584e008ff9d,modal,lateral_pocket,cotton_tshirt,straight,smooth,casual
165bcac8-b2d8-4faa-a377-1de17cdb16a7,rayon,0,popeline,loose,floral,boho
166691ce-95d7-4131-96a1-37cc557503e6,cotton,sparkly,jersey,straight,smooth,classic
16698b3c-74f4-4d7a-afaa-a70ee46f8101,wool,0,jersey,oversize,smooth,casual
167172e2-fb1a-447c-ab32-8eded9099096,polyester,ruffles,synthetic,straight,sheets,boho
1678405b-fe61-4c53-9d3a-36d91716cee5,polyester,button,chiffon,straight,floral,classic
